car,price,body,mileage,engV,engType,registration,year,model,drive,purchase_date
ZAZ,6300,hatch,41,1.5,Petrol,yes,2012,Vida,front,30-11-2005
Opel,4700,van,260,1.3,Diesel,yes,2010,Combo груз.,front,01-12-2005
Hyundai,11900,crossover,133,2.2,Diesel,yes,2008,Tucson,full,02-12-2005
Volkswagen,10999,van,110,1.6,Diesel,yes,2012,Caddy груз.,front,05-12-2005
Jaguar,48720.75,sedan,0,2,Petrol,yes,2015,XF,rear,06-12-2005
Volkswagen,12500,vagon,96,NA,Petrol,yes,2010,Golf VI,front,07-12-2005
Infiniti,50695.515,crossover,0,3.7,Petrol,yes,2015,QX70,full,08-12-2005
Subaru,38800,crossover,0,NA,Diesel,yes,2016,Forester,full,09-12-2005
Renault,10000,other,214,2.5,Diesel,yes,2008,Master пасс.,front,12-12-2005
Infiniti,57756.8745,crossover,1,3,Diesel,yes,2016,QX70,full,13-12-2005
Peugeot,12000,hatch,23,1.6,Petrol,yes,2012,207,front,14-12-2005
Audi,27500,sedan,150,2,Petrol,yes,2013,A6,full,15-12-2005
Infiniti,93147.405,crossover,1,5.6,Petrol,yes,2016,QX80,full,16-12-2005
Audi,3500,sedan,35,1.8,Gas,yes,1990,80,front,19-12-2005
Volkswagen,8500,sedan,87,1.6,Petrol,yes,2011,Polo,front,20-12-2005
Mercedes-Benz,12000,van,230,2.2,Diesel,yes,2008,Vito пасс.,rear,21-12-2005
Mercedes-Benz,39900,hatch,2,NA,Other,yes,2015,B-Class Electric Drive,front,22-12-2005
Daewoo,3200,sedan,190,1.5,Petrol,yes,2001,Lanos,front,23-12-2005
Porsche,52000,crossover,88,3.6,Petrol,yes,2012,Cayenne,full,26-12-2005
Volkswagen,74500,crossover,0,3,Diesel,yes,2015,Touareg,full,27-12-2005
Nissan,6300,sedan,216,2,Gas,yes,2004,Primera,front,28-12-2005
Ford,9200,hatch,87,1.6,Petrol,yes,2010,Focus,front,29-12-2005
Tesla,178500,crossover,0,NA,Other,yes,2016,Model X,full,30-12-2005
BYD,13999,crossover,14,2.4,Gas,yes,2013,S6,front,02-01-2006
Porsche,25000,crossover,130,3,Diesel,no,2012,Cayenne,full,03-01-2006
Land Rover,119000,crossover,38,4.4,Diesel,yes,2013,Range Rover,full,04-01-2006
Volkswagen,3300,sedan,250,1.9,Diesel,no,2000,Passat B5,front,05-01-2006
Land Rover,24777,crossover,198,4.2,Gas,yes,2008,Range Rover,full,06-01-2006
Honda,7899,sedan,170,2,Gas,yes,2005,Accord,front,09-01-2006
BMW,4550,sedan,200,2.8,Petrol,no,1997,528,rear,10-01-2006
Audi,2700,sedan,234,2.5,Other,no,2000,A6,front,12-01-2006
Mazda,8600,sedan,134,1.6,Petrol,yes,2008,3,front,13-01-2006
Nissan,14999,crossover,70,2,Petrol,yes,2010,Qashqai,front,16-01-2006
ZAZ,1450,hatch,112,1.2,Petrol,yes,2003,1103 Славута,front,17-01-2006
Mazda,12150,sedan,105,2,Petrol,yes,2009,6,front,18-01-2006
Peugeot,12900,van,94,1.6,Diesel,yes,2012,3008,,19-01-2006
Kia,12599,hatch,91,1.6,Petrol,yes,2012,Ceed,front,20-01-2006
Hyundai,5950,hatch,98,1.6,Petrol,yes,2008,Getz,front,23-01-2006
Hyundai,11999,hatch,42,1.6,Petrol,yes,2013,i30,,24-01-2006
Lexus,14700,sedan,128,3,Petrol,yes,2006,GS 300,full,25-01-2006
Lexus,17200,crossover,212,4.7,Petrol,yes,2004,LX 470,full,27-01-2006
BMW,31800,sedan,115,3,Diesel,yes,2010,5 Series GT,rear,30-01-2006
VAZ,4750,vagon,69,1.4,Gas,yes,2012,1117,front,31-01-2006
Mitsubishi,19800,crossover,67,2,Gas,yes,2013,Outlander,,01-02-2006
Hyundai,14800,sedan,52,NA,Petrol,yes,2012,Elantra,front,02-02-2006
Porsche,18300,crossover,110,4.5,Gas,yes,2006,Cayenne,full,03-02-2006
Toyota,12700,sedan,130,2.4,Petrol,yes,2008,Camry,front,06-02-2006
Renault,13900,crossover,111,2.5,Gas,yes,2010,Koleos,full,07-02-2006
Audi,26000,sedan,105,2,Petrol,yes,2012,A6,front,08-02-2006
Ford,7500,other,157,1.8,Diesel,yes,2008,Transit Connect пасс.,front,10-02-2006
ZAZ,1800,hatch,23,1.2,Petrol,yes,2009,1103 Славута,front,13-02-2006
Audi,9500,other,0,NA,Other,yes,2003,A6,,14-02-2006
Hyundai,11200,sedan,57,1.4,Gas,yes,2011,Accent,,15-02-2006
Skoda,16300,sedan,103,1.8,Petrol,yes,2012,Superb,front,16-02-2006
Toyota,32000,sedan,22,2.5,Petrol,yes,2015,Camry,front,17-02-2006
Volkswagen,29800,hatch,0,2,Diesel,yes,2015,Golf VII,front,20-02-2006
Suzuki,3100,hatch,140,1,Gas,yes,1999,Swift,front,21-02-2006
Volkswagen,27000,other,90,2,Diesel,yes,2014,Tiguan,full,22-02-2006
Audi,5000,sedan,280,2.3,Gas,yes,1992,100,front,23-02-2006
Porsche,22900,crossover,117,4.8,Petrol,yes,2007,Cayenne,full,24-02-2006
Audi,9800,vagon,253,1.9,Diesel,yes,2002,A6,front,27-02-2006
Toyota,13400,sedan,125,2.4,Petrol,yes,2008,Camry,front,28-02-2006
Volkswagen,20200,hatch,22,1.2,Petrol,yes,2014,Golf VII,front,01-03-2006
Bentley,259000,sedan,0,6,Petrol,yes,2014,Flying Spur,full,02-03-2006
Audi,44800,crossover,95,3,Diesel,yes,2014,Q7,full,03-03-2006
BMW,17100,crossover,188,3,Diesel,yes,2004,X5,full,06-03-2006
Daewoo,3250,sedan,180,1.5,Petrol,yes,2012,Nexia,front,07-03-2006
Volkswagen,6500,van,290,1.9,Diesel,yes,2004,T5 (Transporter) груз,front,08-03-2006
Ford,5900,sedan,200,2.5,Petrol,yes,2001,Mondeo,front,09-03-2006
Volkswagen,12500,sedan,118,1.6,Diesel,yes,2011,Golf VI,front,10-03-2006
Renault,7400,van,181,2,Diesel,yes,2007,Trafic груз.,front,13-03-2006
Nissan,14500,crossover,149,NA,Other,yes,2010,Qashqai,,14-03-2006
Daewoo,4999,hatch,80,1.5,Petrol,yes,2013,Lanos,front,16-03-2006
Volkswagen,12500,van,207,1.9,Diesel,yes,2007,Sharan,front,17-03-2006
Volkswagen,9999,van,310,2.5,Diesel,yes,2007,T5 (Transporter) пасс.,front,20-03-2006
Volkswagen,21900,van,166,2,Diesel,yes,2011,T6 (Transporter) пасс.,front,21-03-2006
Volkswagen,22000,sedan,65,2,Petrol,yes,2012,Passat B7,front,22-03-2006
Audi,22800,sedan,184,2.7,Diesel,yes,2010,A6,front,23-03-2006
Chrysler,12899,sedan,200,3.5,Petrol,yes,2007,300 C,rear,24-03-2006
Toyota,12500,sedan,140,3.5,Gas,yes,2007,Camry,front,27-03-2006
BMW,15000,sedan,137,2.2,Petrol,yes,2004,520,rear,28-03-2006
Mercedes-Benz,3200,sedan,229,2.7,Diesel,no,2001,E-Class,rear,29-03-2006
Volkswagen,20800,other,160,2,Diesel,yes,2012,Amarok,full,30-03-2006
Renault,9000,hatch,56,1.6,Petrol,yes,2011,Megane,front,31-03-2006
Nissan,16300,crossover,43,2,Petrol,yes,2013,Qashqai,front,03-04-2006
Honda,14500,sedan,123,2,Petrol,yes,2009,Accord,front,04-04-2006
Ford,3400,van,250,2.5,Diesel,yes,1999,Transit пасс.,rear,05-04-2006
Toyota,21999,sedan,80,2.5,Other,yes,2012,Camry,front,07-04-2006
Skoda,12999,sedan,69,1.8,Petrol,yes,2010,Octavia A5,front,10-04-2006
Audi,3500,sedan,200,2.5,Diesel,no,2001,A8,front,12-04-2006
Audi,6400,sedan,261,1.8,Gas,yes,2000,A6,front,13-04-2006
Volkswagen,15900,sedan,150,2,Diesel,yes,2012,Passat B7,,17-04-2006
Audi,4999,sedan,231,1.9,Diesel,no,2002,A6,front,18-04-2006
Chery,2600,hatch,110,NA,Petrol,yes,2008,QQ,front,19-04-2006
Smart,7450,hatch,72,1,Petrol,yes,2011,Fortwo,rear,20-04-2006
Daewoo,3950,sedan,127,1.5,Petrol,yes,2006,Lanos,front,21-04-2006
Renault,11200,vagon,165,1.5,Diesel,yes,2012,Megane,front,24-04-2006
Renault,11100,vagon,155,1.5,Diesel,yes,2012,Megane,front,25-04-2006
Opel,3850,sedan,184,2,Petrol,yes,1993,Vectra A,front,26-04-2006
Chevrolet,5750,sedan,99,1.5,Petrol,yes,2009,Aveo,front,27-04-2006
Volkswagen,15500,sedan,178,2,Diesel,no,2013,Passat B7,front,28-04-2006
Toyota,27800,sedan,157,3.5,Petrol,yes,2011,Camry,front,29-04-2006
Volkswagen,10000,sedan,56,1.8,Petrol,no,2015,Passat B7,front,02-05-2006
Nissan,10999,crossover,157,1.5,Diesel,yes,2008,Qashqai,front,03-05-2006
Hyundai,12800,sedan,106,2,Petrol,yes,2012,Sonata,front,04-05-2006
Skoda,8400,sedan,122,1.8,Petrol,yes,2008,Octavia,front,05-05-2006
Mitsubishi,4950,sedan,256,2,Petrol,yes,1997,Galant,front,08-05-2006
Renault,7200,van,73,1.5,Diesel,yes,2012,Kangoo груз.,front,09-05-2006
Mitsubishi,11300,crossover,128,2.4,Gas,yes,2008,Outlander,full,10-05-2006
Skoda,14900,hatch,710,1.8,Petrol,yes,2012,Octavia A5,front,11-05-2006
Fiat,5300,van,240,2.8,Diesel,yes,2006,Ducato груз.,front,12-05-2006
Ford,7499,van,209,1.8,Diesel,yes,2009,Transit Connect пасс.,front,15-05-2006
Skoda,15500,sedan,98,1.8,Petrol,yes,2010,Superb,front,16-05-2006
VAZ,2999,vagon,135,1.6,Petrol,yes,2006,2111,front,17-05-2006
Volkswagen,0,vagon,161,1.4,Petrol,yes,2011,Passat B7,front,18-05-2006
Mazda,13200,sedan,122,2,Gas,yes,2009,6,front,19-05-2006
Volkswagen,8000,van,350,1.9,Diesel,yes,2004,T5 (Transporter) пасс.,front,22-05-2006
Bentley,85000,other,32,6,Petrol,yes,2009,Continental,full,23-05-2006
Opel,2600,sedan,350,2,Diesel,no,1999,Vectra B,front,24-05-2006
Seat,10950,vagon,145,2,Diesel,yes,2008,Altea XL,front,25-05-2006
BMW,41000,crossover,80,3,Petrol,yes,2012,X6,full,26-05-2006
BMW,69999,crossover,0,2.5,Diesel,yes,2016,X5,full,29-05-2006
Nissan,16699,hatch,24,NA,Other,yes,2013,Leaf,front,30-05-2006
Skoda,5100,hatch,161,1.2,Petrol,yes,2006,Fabia,front,31-05-2006
Mercedes-Benz,74999,crossover,1,2.2,Diesel,yes,2016,GLE-Class,full,01-06-2006
VAZ,3600,hatch,137,1.6,Petrol,yes,2005,2112,front,02-06-2006
Audi,3900,vagon,232,2.5,Diesel,no,2003,A6,full,05-06-2006
BMW,66666,crossover,0,2,Diesel,yes,2016,X5,full,06-06-2006
Infiniti,19500,other,98,3.7,Petrol,yes,2008,G37,rear,07-06-2006
VAZ,1800,sedan,125,1.5,Petrol,yes,2000,2107,rear,08-06-2006
Renault,7600,van,108,1,Diesel,yes,2013,Kangoo груз.,front,09-06-2006
Nissan,8200,hatch,144,1.6,Petrol,yes,2008,TIIDA,front,12-06-2006
Audi,23500,crossover,116,4.2,Petrol,yes,2008,Q7,full,13-06-2006
Audi,51000,crossover,44,3,Diesel,yes,2014,Q7,full,14-06-2006
ZAZ,2350,hatch,41,1.2,Petrol,yes,2006,1102 Таврия,front,15-06-2006
Kia,7499,sedan,193,2,Petrol,yes,2007,Magentis,front,16-06-2006
Hyundai,16000,crossover,55,2,Gas,yes,2012,Tucson,full,19-06-2006
Chevrolet,13300,hatch,77,1.8,Other,yes,2012,Cruze,front,20-06-2006
Volkswagen,2900,sedan,238,2,Gas,no,2002,Passat B5,front,21-06-2006
Opel,6999,van,344,1.7,Diesel,yes,2008,Combo пасс.,front,22-06-2006
VAZ,3850,sedan,80,1.6,Petrol,yes,2008,2170,front,23-06-2006
Hyundai,10500,crossover,106,NA,Petrol,yes,2008,Tucson,full,25-06-2006
Volkswagen,22500,van,62,2,Diesel,yes,2011,Caravelle,front,26-06-2006
Skoda,8200,hatch,72,1.4,Petrol,yes,2010,Fabia,front,27-06-2006
Ford,9300,hatch,182,1.6,Gas,yes,2011,Focus,,28-06-2006
BMW,12950,sedan,268,4,Diesel,yes,2004,740,rear,29-06-2006
BMW,56500,crossover,45,3,Diesel,yes,2014,X6,full,30-06-2006
Audi,9000,sedan,158,2,Gas,yes,2003,A4,front,03-07-2006
Volkswagen,17000,crossover,158,2.5,Diesel,yes,2007,Touareg,full,04-07-2006
Volkswagen,3700,sedan,195,1.9,Diesel,no,2001,Passat B5,front,05-07-2006
Mercedes-Benz,23200,sedan,58,1.8,Petrol,yes,2010,C-Class,rear,06-07-2006
Daewoo,3800,sedan,128,1.5,Gas,yes,2008,Nexia,front,07-07-2006
BMW,52000,crossover,7,2,Diesel,yes,2015,X1,full,10-07-2006
Skoda,12200,vagon,150,1.8,Petrol,yes,2012,Octavia A5,front,11-07-2006
Volkswagen,2499,sedan,220,1.9,Diesel,no,2004,Passat B5,front,12-07-2006
Volkswagen,27200,crossover,1,2,Diesel,yes,2015,Tiguan,front,13-07-2006
Porsche,18900,crossover,141,4.5,Petrol,yes,2005,Cayenne,full,14-07-2006
Tesla,60000,sedan,5,NA,Other,yes,2014,Model S,rear,17-07-2006
Opel,3800,sedan,335,1.6,Petrol,yes,1998,Vectra B,front,18-07-2006
BMW,16300,crossover,258,4.4,Petrol,yes,2005,X5,full,19-07-2006
BMW,17500,sedan,102,2,Petrol,yes,2011,320,rear,20-07-2006
Fiat,7500,van,168,1.3,Diesel,yes,2011,Doblo груз.,front,21-07-2006
BMW,6100,sedan,438,2,Gas,yes,1997,320,rear,24-07-2006
Opel,5100,sedan,190,1.6,Other,yes,1999,Astra F,front,25-07-2006
BMW,16500,crossover,230,3,Gas,yes,2004,X5,full,26-07-2006
Land Rover,19999,crossover,106,4.4,Gas,yes,2005,Range Rover Sport,full,27-07-2006
Seat,5900,hatch,157,1.4,Petrol,yes,2006,Ibiza,front,28-07-2006
Kia,9900,sedan,127,2.7,Gas,yes,2008,Magentis,front,31-07-2006
ZAZ,4000,other,130,1.3,Petrol,yes,1961,965,full,01-08-2006
Mercedes-Benz,29500,sedan,64,1.6,Petrol,yes,2013,CLA 200,front,02-08-2006
BMW,15000,vagon,245,3,Gas,yes,2006,530,full,03-08-2006
Mercedes-Benz,5850,van,240,2.2,Diesel,yes,2001,Vito груз.,front,04-08-2006
Tesla,139600,sedan,4,NA,Other,yes,2015,Model S,full,07-08-2006
Mercedes-Benz,47600,van,0,2.2,Diesel,yes,2016,Vito пасс.,rear,08-08-2006
Audi,13900,other,197,2,Diesel,yes,2006,A6,front,09-08-2006
Volkswagen,18600,sedan,2,1.6,Petrol,yes,2015,Jetta,front,10-08-2006
Mitsubishi,7300,sedan,121,1.6,Gas,yes,2008,Lancer,front,11-08-2006
Hyundai,6800,sedan,140,1.5,Diesel,yes,2008,Accent,front,14-08-2006
Mercedes-Benz,4700,sedan,260,2.7,Diesel,no,2002,E-Class,rear,16-08-2006
Volkswagen,5400,vagon,250,1.6,Petrol,yes,2003,Golf IV,front,17-08-2006
Mazda,10700,sedan,148,2,Petrol,yes,2008,6,front,18-08-2006
BMW,19999,crossover,227,3,Diesel,yes,2006,X5,full,21-08-2006
Volkswagen,7700,van,177,1.9,Diesel,yes,2008,T5 (Transporter) груз,front,22-08-2006
Skoda,7000,sedan,160,1.8,Gas,yes,2003,Octavia Tour,front,23-08-2006
Porsche,23500,crossover,97,4.5,Petrol,yes,2004,Cayenne,full,24-08-2006
Land Rover,0,crossover,46,4.4,Diesel,yes,2014,Range Rover,full,25-08-2006
Land Rover,89000,crossover,80,5,Petrol,yes,2013,Range Rover,full,28-08-2006
Land Rover,46800,crossover,51,2.2,Other,yes,2013,Range Rover Evoque,full,29-08-2006
Renault,2350,vagon,245,1.9,Diesel,no,2003,Laguna,front,30-08-2006
Toyota,10500,sedan,180,3.5,Petrol,yes,2007,Camry,,31-08-2006
Porsche,44500,crossover,115,4.8,Petrol,yes,2010,Cayenne,full,01-09-2006
Hyundai,11500,van,183,2.5,Diesel,yes,2008,H1 пасс.,rear,04-09-2006
Toyota,30900,sedan,15,2.5,Petrol,yes,2015,Camry,,05-09-2006
Opel,10000,van,142,2,Diesel,yes,2011,Vivaro груз.,front,06-09-2006
Kia,11900,sedan,67,2,Petrol,yes,2011,Cerato,front,07-09-2006
Subaru,14750,crossover,86,3.6,Petrol,yes,2009,Tribeca,full,08-09-2006
Bentley,499999,crossover,0,6,Petrol,yes,2016,Bentayga,full,11-09-2006
Suzuki,9600,crossover,128,2,Petrol,yes,2006,Grand Vitara,full,12-09-2006
Toyota,30950,other,45,4.6,Petrol,yes,2013,Tundra,full,13-09-2006
VAZ,5999,crossover,73,1.7,Petrol,yes,2007,2121,full,14-09-2006
Lexus,13800,crossover,150,3.3,Petrol,yes,2005,RX 330,full,15-09-2006
Mercedes-Benz,19200,sedan,173,5,Petrol,yes,2007,S 500,rear,18-09-2006
Volkswagen,15800,van,194,2,Diesel,yes,2012,T5 (Transporter) груз,front,19-09-2006
Audi,30650,vagon,35,2,Petrol,yes,2013,A4 Allroad,full,20-09-2006
Toyota,25000,crossover,80,4,Gas,yes,2008,FJ Cruiser,full,21-09-2006
Mercedes-Benz,5100,sedan,295,3,Diesel,yes,1994,E-Class,full,22-09-2006
Volkswagen,28500,sedan,50,2,Petrol,yes,2013,Passat B7,front,25-09-2006
Opel,10800,other,206,2,Diesel,yes,2008,Vivaro пасс.,front,26-09-2006
Mitsubishi,21500,crossover,47,2.4,Petrol,yes,2012,Outlander XL,full,27-09-2006
Volkswagen,12000,other,209,NA,Diesel,yes,2006,T5 (Transporter) груз,front,28-09-2006
Renault,17500,crossover,20,1.5,Diesel,yes,2016,Duster,full,29-09-2006
Hyundai,7500,sedan,100,1.4,Petrol,yes,2007,Accent,front,03-10-2006
Daewoo,5200,sedan,60,1.6,Gas,yes,2008,Lanos,front,04-10-2006
Volkswagen,3650,sedan,197,2,Petrol,yes,1996,Passat B4,front,05-10-2006
Mitsubishi,17500,crossover,38,1.8,Petrol,yes,2012,ASX,front,06-10-2006
Dodge,9500,crossover,220,5.2,Gas,yes,2000,Durango,full,09-10-2006
Honda,15500,crossover,96,2.4,Petrol,yes,2009,CR-V,full,10-10-2006
Ford,29900,crossover,68,2,Diesel,yes,2015,Kuga,full,11-10-2006
Mercedes-Benz,0,van,0,2.2,Diesel,yes,2016,V 250,full,12-10-2006
Skoda,0,vagon,95,1.6,Diesel,yes,2012,Octavia A5,front,13-10-2006
Opel,9900,sedan,109,2.2,Gas,yes,2009,Vectra C,front,16-10-2006
Infiniti,40900,crossover,64,3,Diesel,yes,2014,FX 30,full,17-10-2006
Hyundai,11200,crossover,90,2,Gas,yes,2008,Tucson,full,18-10-2006
Lexus,25999,crossover,207,4.7,Gas,yes,2007,LX 470,full,19-10-2006
Ford,2200,sedan,500,2,Gas,yes,1993,Scorpio,rear,20-10-2006
Volkswagen,28713.75,hatch,0,2,Diesel,yes,2015,Golf VII,front,21-10-2006
Volkswagen,13000,crossover,235,3.2,Gas,yes,2005,Touareg,full,23-10-2006
Audi,17500,sedan,94,1.8,Petrol,yes,2008,A4,front,26-10-2006
Nissan,8100,sedan,88,1.6,Petrol,yes,2012,Almera,front,27-10-2006
Renault,7300,van,186,1.5,Diesel,yes,2010,Kangoo пасс.,front,30-10-2006
Nissan,6200,sedan,170,1.8,Gas,yes,2005,Almera,front,31-10-2006
ZAZ,2499,sedan,45,1.2,Gas,yes,2007,1103 Славута,front,01-11-2006
Volkswagen,11350,van,190,75,Diesel,yes,2011,T5 (Transporter) груз,front,02-11-2006
Hyundai,7500,sedan,104,1.6,Petrol,yes,2010,Elantra,front,03-11-2006
BMW,28500,crossover,160,4.8,Gas,yes,2008,X5,full,06-11-2006
Citroen,8500,hatch,65,1.4,Petrol,yes,2012,C3,front,07-11-2006
Opel,2100,vagon,240,2.2,Gas,no,2001,Vectra B,front,08-11-2006
Renault,12179,vagon,95,1.5,Diesel,yes,2012,Megane,front,09-11-2006
Mercedes-Benz,35500,sedan,160,6.5,Petrol,yes,2008,S 65 AMG,rear,10-11-2006
Renault,12350,van,159,2,Diesel,yes,2010,Trafic пасс.,front,13-11-2006
Lexus,35000,crossover,33,3.5,Petrol,yes,2012,RX 350,full,14-11-2006
Renault,6000,van,162,1.4,Petrol,yes,2007,Kangoo пасс.,front,15-11-2006
Mercedes-Benz,19600,vagon,127,1.8,Diesel,yes,2013,B 180,front,16-11-2006
Lexus,47000,crossover,82,5.7,Petrol,yes,2009,LX 570,full,17-11-2006
Renault,8300,van,177,1.5,Diesel,yes,2007,Grand Scenic,front,20-11-2006
Volkswagen,14500,van,168,2,Diesel,yes,2012,T5 (Transporter) груз,front,21-11-2006
Volkswagen,7200,van,270,1.9,Diesel,yes,2008,T5 (Transporter) груз,front,22-11-2006
Renault,9100,vagon,176,1.5,Diesel,yes,2011,Scenic,front,23-11-2006
Volkswagen,7900,van,229,1.9,Diesel,yes,2001,T4 (Transporter) пасс.,front,24-11-2006
Renault,7000,vagon,231,1.6,Petrol,yes,2008,Scenic,front,27-11-2006
Ford,1050,sedan,160,1.4,Petrol,yes,1988,Escort,front,28-11-2006
Mitsubishi,6000,hatch,118,1.3,Petrol,yes,2006,Colt,front,29-11-2006
Volkswagen,2900,sedan,315,1.6,Gas,yes,1990,Passat B3,front,30-11-2006
Opel,9700,other,175,1.3,Diesel,yes,2013,Astra J,front,01-12-2006
Nissan,7600,hatch,280,1.6,Petrol,yes,2007,Note,front,04-12-2006
Volkswagen,35800,crossover,92,3,Diesel,yes,2011,Touareg,full,05-12-2006
ZAZ,1000,hatch,150,1.2,Petrol,yes,2004,1102 Таврия,front,06-12-2006
ZAZ,1800,hatch,150,99.99,Gas,yes,2004,1102 Таврия,front,07-12-2006
Mercedes-Benz,26800,sedan,162,5.5,Petrol,yes,2007,S 500,full,08-12-2006
Skoda,21500,sedan,64,1.8,Petrol,yes,2013,Superb,front,11-12-2006
Renault,10850,crossover,103,2.5,Gas,yes,2010,Koleos,full,12-12-2006
Bentley,117000,sedan,830,6,Petrol,yes,2011,Flying Spur,full,13-12-2006
Mazda,15000,sedan,78,2,Petrol,yes,2010,6,front,14-12-2006
Mazda,16000,sedan,47,2,Petrol,yes,2011,6,front,15-12-2006
Mazda,7700,sedan,121,1.6,Petrol,yes,2007,3,front,18-12-2006
Honda,9300,sedan,135,1.4,Other,yes,2008,Civic,front,19-12-2006
Seat,9100,vagon,78,1.2,Diesel,yes,2013,Ibiza,front,20-12-2006
Land Rover,39700,crossover,87,NA,Petrol,yes,2010,Range Rover,full,21-12-2006
Renault,8250,sedan,148,NA,Other,yes,2011,Kangoo пасс.,,22-12-2006
Kia,14500,sedan,91,2,Petrol,yes,2013,Cerato,front,26-12-2006
Land Rover,84999,crossover,81,5,Petrol,yes,2013,Range Rover,full,27-12-2006
Ford,1000,hatch,2,1.4,Petrol,yes,1985,Fiesta,front,28-12-2006
Nissan,16800,crossover,52,1.6,Petrol,yes,2013,Qashqai,,29-12-2006
Kia,13460.265,hatch,1,1.6,Petrol,yes,2016,Ceed,front,02-01-2007
Nissan,16800,crossover,52,1.6,Petrol,yes,2013,Qashqai,,03-01-2007
Volkswagen,8800,van,240,1.9,Diesel,yes,2003,T5 (Transporter) пасс.,front,04-01-2007
Mitsubishi,9500,crossover,150,2,Gas,yes,2007,Outlander,full,05-01-2007
Toyota,14500,other,82,2,Gas,yes,2007,Rav 4,full,08-01-2007
Renault,11500,van,160,1.5,Diesel,yes,2010,Grand Scenic,front,09-01-2007
Smart,3100,other,103,0.6,Petrol,yes,2000,Fortwo,rear,10-01-2007
Volkswagen,9000,van,181,1.6,Diesel,yes,2011,Caddy груз.,front,11-01-2007
Toyota,12800,sedan,123,3.5,Petrol,yes,2007,Camry,front,12-01-2007
Mercedes-Benz,10200,sedan,174,2.6,Gas,yes,2001,E-Class,rear,15-01-2007
BMW,69999,crossover,1,2,Petrol,yes,2016,X5,full,16-01-2007
Mercedes-Benz,0,crossover,0,3,Petrol,yes,2016,GLE-Class,full,17-01-2007
Nissan,13300,crossover,87,2,Gas,yes,2011,Qashqai,front,18-01-2007
BMW,42000,sedan,59,4.4,Petrol,yes,2009,750,rear,19-01-2007
Volkswagen,4400,hatch,238,1.6,Petrol,yes,1994,Golf III,front,22-01-2007
Toyota,18800,crossover,105,2,Gas,yes,2011,Rav 4,full,23-01-2007
Honda,7500,other,165,2.4,Petrol,yes,2005,Accord,front,24-01-2007
Mercedes-Benz,7300,van,207,2.2,Diesel,yes,2003,Vito пасс.,front,25-01-2007
BMW,29999,other,73,2,Petrol,yes,2012,320,rear,29-01-2007
Volkswagen,17500,vagon,160,1.4,Petrol,yes,2011,Passat B7,front,31-01-2007
Renault,9200,vagon,155,1.5,Diesel,yes,2010,Clio,front,01-02-2007
Peugeot,4700,van,245,1.6,Diesel,yes,2006,Partner пасс.,front,02-02-2007
Mercedes-Benz,3799,sedan,210,2,Petrol,yes,1995,E-Class,rear,05-02-2007
BYD,12800,crossover,42,2.4,Gas,yes,2013,S6,front,06-02-2007
Ford,8599,van,150,1.8,Diesel,yes,2010,Transit Connect пасс.,front,07-02-2007
Volkswagen,21000,other,93,2,Diesel,yes,2012,Passat B7,front,08-02-2007
Jeep,27500,crossover,250,3,Diesel,yes,2012,Grand Cherokee,full,09-02-2007
BMW,4800,sedan,11,2.5,Diesel,yes,1994,325,rear,12-02-2007
Suzuki,10500,crossover,92,2,Petrol,yes,2006,Grand Vitara,full,13-02-2007
Volkswagen,7500,van,180,2.5,Diesel,yes,2004,T5 (Transporter) груз,front,14-02-2007
Hyundai,21400,crossover,63,2,Diesel,yes,2012,IX35,full,15-02-2007
Nissan,14200,hatch,23,NA,Other,yes,2014,Leaf,front,19-02-2007
Nissan,11999,crossover,113,3.5,Gas,yes,2005,Murano,full,20-02-2007
Seat,4200,sedan,300,1.9,Diesel,yes,1996,Cordoba,front,21-02-2007
Mercedes-Benz,28000,other,12,1.8,Petrol,yes,2013,C-Class,,22-02-2007
Land Rover,52900,crossover,25,NA,Petrol,yes,2012,Range Rover Sport,full,23-02-2007
Suzuki,12000,hatch,87,1.6,Gas,yes,2011,SX4,front,26-02-2007
Peugeot,19500,crossover,90,1.6,Diesel,yes,2014,3008,front,27-02-2007
Audi,21800,vagon,172,2,Diesel,yes,2011,A4,front,28-02-2007
BMW,4200,sedan,277,2,Petrol,yes,1991,320,rear,01-03-2007
Peugeot,6400,hatch,198,1.4,Gas,yes,2008,207,front,02-03-2007
Audi,0,sedan,62,3,Petrol,yes,2013,A8,full,05-03-2007
Hyundai,12650,other,55,1.4,Diesel,yes,2013,i30,front,06-03-2007
BMW,10800,sedan,288,4.4,Gas,yes,2002,745,rear,07-03-2007
Porsche,49999,crossover,65,3.6,Petrol,yes,2012,Cayenne,full,08-03-2007
Land Rover,43999,crossover,56,2.2,Diesel,yes,2013,Range Rover Evoque,full,09-03-2007
Chevrolet,5650,sedan,140,1.6,Petrol,yes,2006,Lacetti,front,12-03-2007
Mazda,6700,other,123,1.6,Petrol,yes,2009,3,front,13-03-2007
BMW,7000,sedan,280,3,Petrol,yes,2001,530,rear,14-03-2007
Subaru,12700,crossover,130,3,Gas,yes,2007,Tribeca,full,15-03-2007
Mercedes-Benz,7450,sedan,219,2,Petrol,yes,2000,C-Class,rear,16-03-2007
Toyota,10500,sedan,82,NA,Petrol,yes,2010,Corolla,front,19-03-2007
Toyota,28900,crossover,83,NA,Petrol,yes,2012,Highlander,full,20-03-2007
Toyota,10500,sedan,124,1.8,Petrol,yes,2008,Avensis,front,21-03-2007
